Difficulty,Depth,Nodes,Time
0,37635,119349,2
0,10449,33070,3
0,11161,35379,5
0,6297,19844,7
0,10,154,11
1,42141,133405,2
1,49970,158216,3
1,11109,35268,5
1,15,117,2
1,15,78,3
1,10,1284,5
1,21,813,7
1,10,1037,11
2,4912,15522,2
2,26767,84779,3
2,1521,4879,5
2,11877,37646,7
3,20919,66243,2
3,6878,21689,3
3,64961,205721,5
4,9007,28418,2
4,19238,60811,3
4,18606,59055,5
4,23550,74386,7
4,1345,4258,11
5,10597,33521,2
5,40301,127776,3
5,4219,13351,5
5,10104,31979,7
6,767,2461,3
6,34399,108842,5
6,20226,63714,7
6,55,435,2
